kind,dcs_category,native_id,identifier,name,phys_type,positions,routing,address,value_range,ifaces,fw_class
input,Fuel Systems,104,FUEL_CONTROL,Fuel Control Switch,default_2_position_tumb,,DCS-BIOS,0x850E,,"fixed_step,set_state,action",Switch2Pos
input,Lights,106,LIGHT_INT_INSTR,Instrument Lights Control,default_axis_limited,,DCS-BIOS,0x8534,,"set_state,variable_step",AnalogInput
input,Lights,107,LIGHT_INT_CONSOLE,Console Lights Control,default_axis_limited,,DCS-BIOS,0x8536,,"set_state,variable_step",AnalogInput
input,Lights,108,LIGHT_INT_BRIGHT,Instrument Lights Brightness,multiposition_switch_limited_inverted,,DCS-BIOS,0x8532,,"fixed_step,set_state",SwitchMultiPos/enc/ladder
input,Lights,110,LIGHT_INT_FLOOD_WHT,White Floodlights Control,default_axis_limited,,DCS-BIOS,0x8538,,"set_state,variable_step",AnalogInput
input,Radar Control Panel,120,RADAR_MODE,AN/APG-53A Radar Mode Switch,multiposition_switch_limited,5,DCS-BIOS,0x84EA,,"fixed_step,set_state",SwitchMultiPos/enc/ladder
input,Radar Control Panel,121,RADAR_AOACOMP,Radar AoA Compensation Switch,default_2_position_tumb,,DCS-BIOS,0x84EA,,"fixed_step,set_state,action",Switch2Pos
input,Radar Control Panel,122,RADAR_ANGLE,Radar Antenna Tilt Switch,default_axis_limited,,DCS-BIOS,0x84EE,,"set_state,variable_step",AnalogInput
input,Radar Control Panel,123,RADAR_VOL,Radar Obstacle Tone Volume,default_axis_limited,,DCS-BIOS,0x84F0,,"set_state,variable_step",AnalogInput
input,Avionics,125,OXY_SW,Oxygen Switch,default_2_position_tumb,,DCS-BIOS,0x850E,,"fixed_step,set_state,action",Switch2Pos
input,Mechanical Systems,128,SPEEDBRAKE_EMERG,Emergency Speedbrake Knob,default_3_position_tumb,,DCS-BIOS,0x8508,,"fixed_step,set_state",Switch3Pos
input,Fuel Systems,130,MAN_FUEL_OFF_LV,Manual Fuel Shutoff Control Lever,default_2_position_tumb,,DCS-BIOS,0x850E,,"fixed_step,set_state,action",Switch2Pos
input,Fuel Systems,131,MAN_FUEL_OFF_CATCH,Manual Fuel Shutoff Control Catch,default_2_position_tumb,,DCS-BIOS,0x850E,,"fixed_step,set_state,action",Switch2Pos
input,Mechanical Systems,132,FLAPS,Flap Handle,multiposition_switch_limited,,DCS-BIOS,0x8508,,"fixed_step,set_state",SwitchMultiPos/enc/ladder
input,Mechanical Systems,133,JATO_ARM,JATO Arming Switch,default_2_position_tumb,,DCS-BIOS,0x850E,,"fixed_step,set_state,action",Switch2Pos
input,Mechanical Systems,134,JATO_JETT_SAFE,JATO Jettison Switch,default_2_position_tumb,,DCS-BIOS,0x850E,,"fixed_step,set_state,action",Switch2Pos
input,Stby,135,APC_ENABLE,APC Power Switch,multiposition_switch_limited,,DCS-BIOS,0x8508,,"fixed_step,set_state",SwitchMultiPos/enc/ladder
input,Std,136,APS_COLD_STD_HOT,APC Temperature Switch,multiposition_switch_limited,,DCS-BIOS,0x8508,,"fixed_step,set_state",SwitchMultiPos/enc/ladder
input,Avionics,139,ACCEL_RESET,Accelerometer Reset,default_button,,DCS-BIOS,0x850E,,"fixed_step,set_state,action",ActionButton
input,Clock,146,STOPWATCH,Elapsed-Time Clock,default_button,,DCS-BIOS,0x850E,,"fixed_step,set_state,action",ActionButton
input,AFCS,160,AFCS_STBY,AFCS Standby Switch,default_2_position_tumb,,DCS-BIOS,0x8502,,"fixed_step,set_state,action",Switch2Pos
input,AFCS,161,AFCS_ENGAGE,AFCS Engage Switch,default_2_position_tumb,,DCS-BIOS,0x8502,,"fixed_step,set_state,action",Switch2Pos
input,AFCS,162,AFCS_HDG_SEL,AFCS Heading Select Switch,default_2_position_tumb,,DCS-BIOS,0x8502,,"fixed_step,set_state,action",Switch2Pos
input,AFCS,163,AFCS_ALT,AFCS Altitude Switch,default_2_position_tumb,,DCS-BIOS,0x8508,,"fixed_step,set_state,action",Switch2Pos
input,AFCS,164,AFCS_HDG_SET,AFCS Heading Select Pull-to-Set Knob,default_axis_limited,,DCS-BIOS,0x850A,,variable_step,AnalogInput
input,AFCS,165,AFCS_STAB_AUG,AFCS Stability Augmentation Switch (Yaw Damper),default_2_position_tumb,,DCS-BIOS,0x8508,,"fixed_step,set_state,action",Switch2Pos
input,AFCS,166,AFCS_AIL_TRIM,AFCS Aileron Trim Switch (unimplemented),default_2_position_tumb,,DCS-BIOS,0x8508,,"fixed_step,set_state,action",Switch2Pos
input,Doppler Nav,170,DOPPLER_SEL,AN/APN-153 Doppler Navigation Radar Mode Switch,multiposition_switch_limited,5,DCS-BIOS,0x8522,,"fixed_step,set_state",AnalogMultiPos
input,Doppler Nav,176,NAV_SEL,AN/ASN-41 Function Selector Switch,multiposition_switch_limited,5,DCS-BIOS,0x8522,,"fixed_step,set_state",AnalogMultiPos
input,Lights,217,LIGHT_EXT_PROBE,Probe Light Switch,multiposition_switch_limited,,DCS-BIOS,0x8532,,"fixed_step,set_state",SwitchMultiPos/enc/ladder
input,Lights,218,LIGHT_EXT_TAXI,Taxi Light Switch,default_2_position_tumb,,DCS-BIOS,0x8522,,"fixed_step,set_state,action",Switch2Pos
